0	0	0	0	0
10	14000	33066.6666666667	40066.6666666667	30000
20	35000	32666.6666666667	50166.6666666667	30000
30	21000	44666.6666666667	55166.6666666667	30000
40	56000	32266.6666666667	60266.6666666667	30000
50	84000	31733.3333333333	73733.3333333333	300000
60	105000	36666.6666666667	89166.6666666667	300000
70	140000	34000	104000	300000
80	126000	30933.3333333333	93933.3333333333	300000
90	119000	35333.3333333333	94833.3333333333	300000
100	133000	34800	101300	130000
110	140000	33000	103000	130000
120	154000	32000	109000	130000
130	147000	33200	106700	130000
140	98000	36600	85600	130000
150	112000	36000	92000	2000
160	119000	36400	95900	2000
170	140000	33000	103000	2000
180	126000	34666.6666666667	97666.6666666667	2000
190	105000	38000	90500	2000
200	147000	32400	105900	2000
210	100800	37066.6666666667	87466.6666666667	2000
220	115500	36800	94550	2000
230	70000	39000	74000	2000
240	35000	43333.3333333333	60833.3333333333	2000
250	59500	43200	72950	2000
260	63000	39600	71100	2000
270	70000	40000	75000	2000
280	85400	40240	82940	2000
290	98000	36600	85600	2000
300	131600	34133.3333333333	99933.3333333333	300000
310	155400	32240	109940	300000
320	147000	32400	105900	300000
330	133000	34000	100500	300000
340	122500	36000	97250	300000
350	140000	33000	103000	30000
360	98000	37333.3333333333	86333.3333333333	30000
370	84000	40400	82400	30000
380	69300	39060	73710	30000
390	56000	41333.3333333333	69333.3333333333	30000
400	77000	41200	79700	300000
410	73500	38700	75450	30000
420	56000	41333.3333333333	69333.3333333333	300000
430	62300	42880	74030	30000
440	35000	42000	59500	300000
450	31500	43666.6666666667	59416.6666666667	300000
460	56000	43600	71600	300000
470	28000	42600	56600	300000
480	30800	43733.3333333333	59133.3333333333	4000
490	24500	47200	59450	4000
500	14000	33066.6666666667	40066.6666666667	4000
